YEAR,MONTH,DATE,TIME,LOCATION,TEMP_CURRENT,HEAT_INDEX,TEMP_MAX,TEMP_MIN,HUMIDITY,DAILY_PRECIP_PROB,WIND_SPEED(MPH)2020,11,05,19:46,"Palo Alto, CA, USA",64.94,59.85,65.57,55.26,60,0.18,9.53
2020,11,05,19:56,"Palo Alto, CA, USA",64.94,59.85,65.57,55.26,60,0.18,9.53
2020,11,05,20:02,"Palo Alto, CA, USA",65.84,60.53,66.02,55.27,56,0.18,9.44
2020,11,05,20:03,"Palo Alto, CA, USA",65.84,60.53,66.02,55.27,56,0.18,9.44
2020,11,05,20:31,"Palo Alto, CA, USA",65.7,60.94,65.7,55.94,57,0.19,8.61
2020,11,05,20:35,"Palo Alto, CA, USA",65.84,60.53,66.02,55.27,56,0.18,9.44
2020,11,05,20:36,"Palo Alto, CA, USA",65.84,60.53,66.02,55.27,56,0.18,9.44
2020,11,05,20:37,"Palo Alto, CA, USA",65.84,60.53,66.02,55.27,56,0.18,9.44
2020,11,05,20:38,"Palo Alto, CA, USA",65.7,60.94,65.7,55.94,57,0.19,8.61
2020,11,05,20:40,"Palo Alto, CA, USA",65.7,60.94,65.7,55.94,57,0.19,8.61
2020,11,05,20:46,"Palo Alto, CA, USA",65.84,60.53,66.02,55.27,56,0.18,9.44
